"","entry","floor","building","house","cert","neighborhood"
"1203","A","2","Main","Eliot","Green","West"
"1204","D","3","Main","Adams","Green","Central"
"1205","C","1","Main","Currier","Green","Quad"
"1206","C","3","Not Main","Leverett","Silver","East"
"1207","E","1","Main","Mather","Green","East"
"1208","C","3","Not Main","Adams","Silver","Central"
"1209","A","1","Not Main","Adams","Silver","Central"
"1210","E","1","Main","Winthrop","Silver","West"
"1211","D","2","Main","Currier","Green","Quad"
"1212","A","1","Not Main","Dunster","Silver","East"
"1213","A","3","Not Main","Leverett","Silver","East"
"1214","B","3","Main","Dunster","Green","East"
"1215","C","1","Main","Currier","Gold","Quad"
"1216","B","2","Main","Leverett","Silver","East"
"1217","A","3","Main","Winthrop","Green","West"
"1218","D","3","Not Main","Winthrop","Silver","West"
"1219","E","2","Not Main","Cabot","Green","Quad"
"1220","B","2","Not Main","Mather","Silver","East"
"1221","A","1","Main","Winthrop","Green","West"
"1222","D","2","Main","Kirkland","Green","West"
"1223","E","2","Not Main","Currier","Silver","Quad"
"1224","C","3","Main","Kirkland","Gold","West"
"1225","C","1","Main","Dunster","Silver","East"
"1226","A","3","Main","Mather","Silver","East"
"1227","B","3","Not Main","Kirkland","Green","West"
"1228","D","2","Main","Cabot","Green","Quad"
"1229","B","2","Not Main","Adams","Green","Central"
"1230","D","1","Not Main","Winthrop","Green","West"
"1231","E","3","Not Main","Adams","Green","Central"
"1232","C","2","Not Main","Lowell","Gold","Central"
"1233","A","2","Not Main","Currier","Green","Quad"
"1234","A","2","Not Main","Lowell","Green","Central"
"1235","A","1","Not Main","Currier","Green","Quad"
"1236","C","3","Not Main","Cabot","Green","Quad"
"1237","B","3","Not Main","Currier","Silver","Quad"
"1238","A","2","Not Main","Quincy","Gold","Central"
"1239","D","2","Not Main","Quincy","Silver","Central"
"1240","A","2","Not Main","Dunster","Silver","East"
"1241","B","2","Main","Leverett","Gold","East"
"1242","B","1","Main","Mather","Green","East"
"1243","D","1","Not Main","Adams","Silver","Central"
"1244","B","2","Not Main","Cabot","Silver","Quad"
"1245","B","1","Main","Leverett","Gold","East"
"1246","A","2","Not Main","Currier","Green","Quad"
"1247","C","3","Not Main","Leverett","Silver","East"
"1248","A","3","Not Main","Lowell","Gold","Central"
"1249","C","1","Main","Adams","Green","Central"
"1250","A","2","Main","Adams","Green","Central"
"1251","E","1","Main","Eliot","Green","West"
"1252","A","2","Not Main","Quincy","Green","Central"
"1253","A","2","Main","Leverett","Silver","East"
"1254","D","1","Main","Cabot","Green","Quad"
"1255","C","1","Main","Winthrop","Green","West"
"1256","D","3","Main","Currier","Green","Quad"
"1257","E","1","Main","Adams","Green","Central"
"1258","A","3","Main","Currier","Green","Quad"
"1259","D","1","Not Main","Cabot","Green","Quad"
"1260","A","1","Main","Leverett","Silver","East"
"1261","D","1","Main","Cabot","Green","Quad"
"1262","C","2","Main","Cabot","Green","Quad"
"1263","C","2","Main","Dunster","Green","East"
"1264","E","3","Main","Winthrop","Green","West"
"1265","D","3","Main","Winthrop","Green","West"
"1266","B","1","Not Main","Adams","Gold","Central"
"1267","A","2","Main","Dunster","Gold","East"
"1268","D","1","Main","Mather","Green","East"
"1269","B","3","Main","Adams","Silver","Central"
"1270","E","1","Not Main","Eliot","Gold","West"
"1271","C","3","Main","Eliot","Green","West"
"1272","B","1","Main","Mather","Green","East"
"1273","A","1","Not Main","Adams","Silver","Central"
"1274","E","1","Main","Lowell","Green","Central"
"1275","D","2","Main","Dunster","Gold","East"
"1276","B","1","Not Main","Currier","Silver","Quad"
"1277","C","2","Not Main","Currier","Gold","Quad"
"1278","D","1","Not Main","Pfoho","Gold","Quad"
"1279","A","2","Main","Leverett","Green","East"
"1280","A","3","Main","Winthrop","Gold","West"
"1281","D","2","Main","Winthrop","Green","West"
"1282","A","3","Main","Lowell","Silver","Central"
"1283","B","3","Not Main","Eliot","Gold","West"
"1284","D","2","Not Main","Pfoho","Green","Quad"
"1285","B","3","Main","Pfoho","Silver","Quad"
"1286","E","2","Not Main","Mather","Green","East"
"1287","A","3","Not Main","Currier","Green","Quad"
"1288","B","3","Main","Mather","Silver","East"
"1289","D","3","Main","Quincy","Silver","Central"
"1290","C","1","Not Main","Quincy","Green","Central"
"1291","B","1","Main","Mather","Silver","East"
"1292","B","2","Not Main","Quincy","Green","Central"
"1293","E","1","Main","Leverett","Green","East"
"1294","A","1","Main","Currier","Silver","Quad"
"1295","C","2","Main","Dunster","Green","East"
"1296","D","3","Not Main","Mather","Green","East"
"1297","D","2","Not Main","Dunster","Gold","East"
"1298","A","1","Not Main","Dunster","Green","East"
"1299","B","1","Main","Quincy","Green","Central"
"1300","D","2","Not Main","Currier","Green","Quad"
"1301","D","1","Not Main","Leverett","Green","East"
"1302","A","1","Not Main","Leverett","Gold","East"
"1303","C","1","Main","Mather","Silver","East"
"1304","E","2","Not Main","Adams","Silver","Central"
"1305","E","1","Not Main","Winthrop","Silver","West"
"1306","A","1","Not Main","Winthrop","Silver","West"
"1307","D","3","Not Main","Adams","Silver","Central"
"1308","B","2","Main","Eliot","Silver","West"
"1309","A","2","Main","Mather","Silver","East"
"1310","A","2","Not Main","Adams","Green","Central"
"1311","D","1","Not Main","Currier","Silver","Quad"
"1312","A","2","Not Main","Leverett","Silver","East"
"1313","A","3","Not Main","Cabot","Green","Quad"
"1314","C","2","Main","Lowell","Silver","Central"
"1315","D","2","Main","Dunster","Silver","East"
"1316","E","2","Main","Cabot","Gold","Quad"
"1317","D","3","Not Main","Currier","Gold","Quad"
"1318","C","2","Not Main","Pfoho","Green","Quad"
"1319","D","1","Main","Kirkland","Gold","West"
"1320","C","1","Main","Winthrop","Green","West"
"1321","D","3","Not Main","Eliot","Gold","West"
"1322","D","3","Main","Leverett","Silver","East"
"1323","E","3","Main","Leverett","Green","East"
"1324","D","1","Main","Currier","Silver","Quad"
"1325","B","3","Not Main","Mather","Green","East"
"1326","B","1","Not Main","Eliot","Gold","West"
"1327","B","2","Main","Currier","Green","Quad"
"1328","A","3","Not Main","Mather","Gold","East"
"1329","D","2","Main","Adams","Green","Central"
"1330","B","1","Main","Dunster","Green","East"
"1331","C","3","Main","Cabot","Green","Quad"
"1332","A","2","Not Main","Pfoho","Silver","Quad"
"1333","D","2","Not Main","Quincy","Green","Central"
"1334","B","2","Main","Lowell","Gold","Central"
"1335","A","1","Main","Kirkland","Silver","West"
"1336","E","1","Not Main","Lowell","Green","Central"
"1337","C","1","Main","Currier","Green","Quad"
"1338","A","3","Main","Mather","Green","East"
"1339","A","1","Not Main","Cabot","Silver","Quad"
"1340","B","1","Not Main","Lowell","Silver","Central"
"1341","B","1","Not Main","Cabot","Green","Quad"
"1342","B","2","Main","Winthrop","Green","West"
"1343","C","3","Not Main","Adams","Green","Central"
"1344","C","1","Not Main","Currier","Green","Quad"
"1345","D","1","Main","Dunster","Silver","East"
"1346","B","2","Main","Mather","Gold","East"
"1347","C","3","Main","Dunster","Silver","East"
"1348","A","1","Not Main","Cabot","Silver","Quad"
"1349","E","2","Main","Quincy","Green","Central"
"1350","C","3","Main","Dunster","Silver","East"
"1351","E","3","Main","Adams","Gold","Central"
"1352","D","2","Not Main","Leverett","Gold","East"
"1353","D","2","Main","Winthrop","Silver","West"
"1354","C","2","Not Main","Currier","Silver","Quad"
"1355","D","2","Not Main","Eliot","Gold","West"
"1356","E","1","Main","Mather","Gold","East"
"1357","D","3","Not Main","Winthrop","Silver","West"
"1358","D","2","Main","Pfoho","Silver","Quad"
"1359","E","2","Not Main","Currier","Green","Quad"
"1360","A","1","Not Main","Currier","Green","Quad"
"1361","A","3","Main","Currier","Green","Quad"
"1362","A","2","Not Main","Pfoho","Green","Quad"
"1363","C","2","Not Main","Winthrop","Gold","West"
"1364","E","1","Not Main","Lowell","Silver","Central"
"1365","B","3","Main","Quincy","Silver","Central"
"1366","B","3","Main","Adams","Green","Central"
"1367","D","1","Main","Winthrop","Silver","West"
"1368","E","2","Not Main","Quincy","Green","Central"
"1369","E","3","Not Main","Leverett","Green","East"
"1370","B","3","Not Main","Dunster","Gold","East"
"1371","A","1","Main","Kirkland","Silver","West"
"1372","A","2","Main","Kirkland","Gold","West"
"1373","E","2","Not Main","Dunster","Silver","East"
"1374","E","1","Not Main","Dunster","Green","East"
"1375","A","1","Main","Quincy","Gold","Central"
"1376","C","2","Main","Pfoho","Green","Quad"
"1377","D","2","Not Main","Winthrop","Silver","West"
"1378","D","3","Main","Quincy","Gold","Central"
"1379","C","3","Main","Adams","Silver","Central"
"1380","E","2","Not Main","Dunster","Green","East"
"1381","C","1","Main","Winthrop","Silver","West"
"1382","B","1","Not Main","Currier","Gold","Quad"
"1383","B","2","Main","Currier","Silver","Quad"
"1384","E","3","Main","Currier","Green","Quad"
"1385","A","1","Main","Dunster","Silver","East"
"1386","E","1","Not Main","Winthrop","Green","West"
"1387","B","2","Not Main","Dunster","Green","East"
"1388","B","1","Main","Leverett","Silver","East"
"1389","B","1","Not Main","Winthrop","Green","West"
"1390","E","3","Not Main","Dunster","Green","East"
"1391","A","3","Main","Quincy","Gold","Central"
"1392","C","3","Main","Eliot","Green","West"
"1393","E","1","Main","Eliot","Silver","West"
"1394","B","2","Not Main","Winthrop","Silver","West"
"1395","E","1","Not Main","Lowell","Gold","Central"
"1396","D","3","Main","Currier","Gold","Quad"
"1397","A","1","Main","Adams","Green","Central"
"1398","E","2","Not Main","Mather","Gold","East"
"1399","D","2","Main","Winthrop","Green","West"
"1400","C","1","Main","Eliot","Green","West"
"1401","A","1","Main","Pfoho","Green","Quad"
"1402","D","3","Main","Quincy","Green","Central"
"1403","B","3","Not Main","Dunster","Gold","East"
"1404","A","2","Not Main","Kirkland","Green","West"
"1405","C","3","Main","Leverett","Green","East"
"1406","B","2","Not Main","Eliot","Green","West"
"1407","E","1","Not Main","Mather","Silver","East"
"1408","D","2","Not Main","Kirkland","Gold","West"
"1409","A","3","Not Main","Dunster","Green","East"
"1410","D","2","Main","Cabot","Green","Quad"
"1411","A","3","Not Main","Currier","Green","Quad"
"1412","E","2","Not Main","Adams","Green","Central"
"1413","A","3","Main","Dunster","Green","East"
"1414","B","3","Not Main","Kirkland","Green","West"
"1415","D","2","Not Main","Winthrop","Green","West"
"1416","E","3","Not Main","Mather","Silver","East"
"1417","C","1","Not Main","Quincy","Silver","Central"
"1418","B","3","Not Main","Lowell","Green","Central"
"1419","C","3","Main","Dunster","Silver","East"
"1420","B","2","Not Main","Currier","Gold","Quad"
"1421","B","2","Main","Kirkland","Green","West"
"1422","B","1","Main","Cabot","Green","Quad"
"1423","B","3","Not Main","Quincy","Green","Central"
"1424","C","3","Main","Winthrop","Silver","West"
"1425","A","2","Not Main","Winthrop","Gold","West"
"1426","E","2","Not Main","Currier","Gold","Quad"
"1427","E","1","Main","Winthrop","Silver","West"
"1428","E","2","Main","Mather","Green","East"
"1429","C","1","Main","Mather","Silver","East"
"1430","E","1","Not Main","Winthrop","Silver","West"
"1431","B","2","Main","Dunster","Silver","East"
"1432","B","1","Not Main","Dunster","Gold","East"
"1433","E","2","Main","Kirkland","Green","West"
"1434","C","2","Main","Adams","Green","Central"
"1435","A","1","Main","Quincy","Silver","Central"
"1436","B","3","Main","Eliot","Green","West"
"1437","B","1","Not Main","Winthrop","Green","West"
"1438","C","3","Not Main","Lowell","Silver","Central"
"1439","E","2","Not Main","Currier","Gold","Quad"
"1440","A","1","Main","Dunster","Green","East"
"1441","D","2","Not Main","Dunster","Gold","East"
"1442","A","1","Main","Lowell","Silver","Central"
"1443","D","1","Main","Lowell","Green","Central"
"1444","D","1","Main","Cabot","Green","Quad"
"1445","E","2","Not Main","Adams","Green","Central"
"1446","D","1","Main","Winthrop","Gold","West"
"1447","E","3","Not Main","Lowell","Gold","Central"
"1448","E","1","Main","Currier","Green","Quad"
"1449","A","1","Main","Dunster","Green","East"
"1450","B","1","Main","Winthrop","Gold","West"
"1451","A","2","Not Main","Leverett","Gold","East"
"1452","B","2","Not Main","Kirkland","Silver","West"
"1453","A","2","Not Main","Pfoho","Green","Quad"
"1454","C","1","Main","Dunster","Green","East"
"1455","E","1","Main","Lowell","Gold","Central"
"1456","A","1","Main","Cabot","Green","Quad"
"1457","D","2","Not Main","Currier","Silver","Quad"
"1458","E","2","Main","Lowell","Green","Central"
"1459","D","2","Main","Pfoho","Green","Quad"
"1460","E","2","Main","Leverett","Green","East"
"1461","A","1","Not Main","Leverett","Green","East"
"1462","D","3","Not Main","Leverett","Gold","East"
"1463","D","3","Main","Dunster","Gold","East"
"1464","D","1","Not Main","Currier","Green","Quad"
"1465","D","1","Not Main","Dunster","Silver","East"
"1466","A","2","Not Main","Dunster","Green","East"
"1467","D","1","Main","Quincy","Silver","Central"
"1468","B","3","Not Main","Quincy","Gold","Central"
"1469","A","1","Main","Mather","Gold","East"
"1470","A","3","Not Main","Eliot","Silver","West"
"1471","C","2","Not Main","Eliot","Green","West"
"1472","D","2","Not Main","Dunster","Gold","East"
"1473","B","3","Main","Cabot","Silver","Quad"
"1474","E","1","Main","Leverett","Green","East"
"1475","C","1","Not Main","Leverett","Green","East"
"1476","C","2","Main","Currier","Green","Quad"
"1477","A","3","Main","Adams","Green","Central"
"1478","E","2","Main","Lowell","Green","Central"
"1479","B","1","Not Main","Currier","Green","Quad"
"1480","C","3","Main","Dunster","Green","East"
"1481","B","1","Not Main","Currier","Gold","Quad"
"1482","B","2","Not Main","Lowell","Green","Central"
"1483","E","2","Main","Cabot","Green","Quad"
"1484","D","2","Main","Eliot","Gold","West"
"1485","E","3","Main","Currier","Green","Quad"
"1486","D","3","Not Main","Kirkland","Green","West"
"1487","B","3","Not Main","Winthrop","Silver","West"
"1488","A","1","Not Main","Lowell","Silver","Central"
"1489","D","3","Not Main","Currier","Green","Quad"
"1490","E","1","Not Main","Winthrop","Green","West"
"1491","B","2","Not Main","Kirkland","Green","West"
"1492","E","3","Main","Winthrop","Gold","West"
"1493","E","2","Main","Mather","Gold","East"
"1494","B","2","Not Main","Kirkland","Gold","West"
"1495","A","1","Main","Kirkland","Silver","West"
"1496","C","2","Not Main","Pfoho","Green","Quad"
"1497","D","2","Main","Cabot","Gold","Quad"
"1498","E","3","Not Main","Leverett","Green","East"
"1499","E","1","Main","Currier","Gold","Quad"
"1500","C","2","Main","Mather","Silver","East"
"1501","C","2","Not Main","Lowell","Green","Central"
"1502","A","3","Main","Eliot","Silver","West"
"1503","D","3","Main","Quincy","Green","Central"
"1504","C","1","Not Main","Winthrop","Gold","West"
"1505","D","2","Not Main","Winthrop","Silver","West"
"1506","E","3","Main","Currier","Gold","Quad"
"1507","B","2","Not Main","Leverett","Silver","East"
"1508","D","1","Main","Dunster","Green","East"
"1509","C","1","Main","Dunster","Green","East"
"1510","C","3","Not Main","Eliot","Gold","West"
"1511","D","2","Main","Dunster","Green","East"
"1512","E","3","Main","Adams","Silver","Central"
"1513","B","3","Main","Adams","Silver","Central"
"1514","D","2","Not Main","Adams","Gold","Central"
"1515","E","1","Not Main","Quincy","Silver","Central"
"1516","C","2","Main","Quincy","Silver","Central"
"1517","D","3","Not Main","Pfoho","Silver","Quad"
"1518","C","3","Not Main","Mather","Green","East"
"1519","B","2","Not Main","Winthrop","Gold","West"
"1520","C","1","Not Main","Leverett","Green","East"
"1521","A","1","Not Main","Adams","Green","Central"
"1522","B","1","Not Main","Dunster","Green","East"
"1523","A","2","Not Main","Currier","Silver","Quad"
"1524","C","2","Main","Pfoho","Gold","Quad"
"1525","C","3","Main","Eliot","Gold","West"
"1526","D","3","Main","Lowell","Silver","Central"
"1527","E","1","Main","Cabot","Green","Quad"
"1528","C","1","Not Main","Currier","Green","Quad"
"1529","D","1","Main","Mather","Green","East"
"1530","C","1","Main","Adams","Green","Central"
"1531","D","1","Not Main","Eliot","Green","West"
"1532","B","3","Main","Dunster","Green","East"
"1533","D","2","Main","Quincy","Green","Central"
"1534","D","1","Main","Pfoho","Gold","Quad"
"1535","C","3","Not Main","Winthrop","Green","West"
"1536","C","1","Main","Adams","Green","Central"
"1537","A","1","Not Main","Pfoho","Silver","Quad"
"1538","E","1","Main","Adams","Green","Central"
"1539","D","3","Not Main","Cabot","Green","Quad"
"1540","A","1","Main","Dunster","Silver","East"
"1541","E","1","Main","Leverett","Silver","East"
"1542","D","1","Not Main","Winthrop","Green","West"
"1543","A","1","Not Main","Currier","Gold","Quad"
"1544","D","1","Main","Winthrop","Gold","West"
"1545","B","1","Not Main","Eliot","Silver","West"
"1546","B","2","Main","Currier","Silver","Quad"
"1547","A","2","Not Main","Kirkland","Silver","West"
"1548","D","1","Not Main","Lowell","Silver","Central"
"1549","D","3","Not Main","Quincy","Silver","Central"
"1550","E","2","Main","Currier","Silver","Quad"
"1551","B","2","Main","Lowell","Green","Central"
"1552","A","1","Main","Eliot","Silver","West"
"1553","C","3","Main","Dunster","Green","East"
"1554","B","1","Not Main","Pfoho","Silver","Quad"
"1555","D","2","Not Main","Adams","Green","Central"
"1556","E","2","Main","Lowell","Green","Central"
"1557","A","2","Not Main","Quincy","Green","Central"
"1558","E","2","Not Main","Winthrop","Silver","West"
"1559","E","3","Main","Currier","Green","Quad"
"1560","A","3","Main","Leverett","Gold","East"
"1561","B","2","Not Main","Eliot","Gold","West"
"1562","A","3","Not Main","Kirkland","Silver","West"
"1563","B","3","Main","Mather","Silver","East"
"1564","D","1","Main","Leverett","Green","East"
"1565","C","2","Main","Eliot","Green","West"
"1566","A","1","Main","Cabot","Gold","Quad"
"1567","B","2","Not Main","Eliot","Silver","West"
"1568","D","3","Main","Winthrop","Silver","West"
"1569","A","3","Not Main","Lowell","Silver","Central"
"1570","B","1","Main","Eliot","Silver","West"
"1571","B","2","Main","Quincy","Silver","Central"
"1572","D","3","Main","Dunster","Silver","East"
"1573","E","1","Not Main","Dunster","Silver","East"
"1574","A","3","Not Main","Leverett","Green","East"
"1575","D","1","Main","Lowell","Silver","Central"
"1576","B","1","Not Main","Quincy","Gold","Central"
"1577","C","2","Not Main","Mather","Green","East"
"1578","C","2","Not Main","Adams","Silver","Central"
"1579","A","1","Not Main","Currier","Gold","Quad"
"1580","E","3","Not Main","Leverett","Silver","East"
"1581","A","2","Main","Quincy","Gold","Central"
"1582","A","2","Not Main","Lowell","Green","Central"
"1583","A","3","Not Main","Leverett","Green","East"
"1584","C","3","Main","Leverett","Green","East"
"1585","D","3","Main","Kirkland","Green","West"
"1586","B","1","Main","Adams","Gold","Central"
"1587","E","2","Main","Adams","Gold","Central"
"1588","E","1","Main","Kirkland","Green","West"
"1589","C","3","Main","Cabot","Green","Quad"
"1590","A","2","Main","Kirkland","Silver","West"
"1591","D","3","Main","Winthrop","Green","West"
"1592","D","2","Main","Quincy","Silver","Central"
"1593","C","1","Not Main","Quincy","Gold","Central"
"1594","D","1","Not Main","Dunster","Green","East"
"1595","C","2","Not Main","Pfoho","Gold","Quad"
"1596","A","3","Main","Quincy","Green","Central"
"1597","C","3","Main","Adams","Green","Central"
"1598","B","2","Main","Mather","Silver","East"
"1599","D","3","Main","Kirkland","Green","West"
"1600","D","3","Main","Lowell","Gold","Central"
"1601","E","1","Not Main","Leverett","Green","East"
"1602","C","3","Not Main","Mather","Green","East"
"1603","C","3","Not Main","Quincy","Gold","Central"
"1604","C","1","Main","Cabot","Gold","Quad"
"1605","E","3","Not Main","Leverett","Green","East"
"1606","C","2","Not Main","Kirkland","Silver","West"
"1607","E","3","Not Main","Eliot","Silver","West"
"1608","C","2","Main","Currier","Green","Quad"
"1609","C","1","Main","Quincy","Green","Central"
"1610","A","2","Main","Eliot","Green","West"
"1611","C","2","Main","Adams","Green","Central"
"1612","B","2","Not Main","Cabot","Green","Quad"
"1613","B","2","Main","Dunster","Gold","East"
"1614","A","1","Not Main","Quincy","Green","Central"
"1615","E","1","Not Main","Kirkland","Gold","West"
"1616","A","1","Not Main","Pfoho","Green","Quad"
"1617","B","3","Main","Dunster","Green","East"
"1618","D","3","Main","Lowell","Gold","Central"
"1619","C","1","Main","Kirkland","Silver","West"
"1620","E","3","Main","Kirkland","Green","West"
"1621","C","3","Main","Adams","Gold","Central"
"1622","C","2","Not Main","Kirkland","Green","West"
"1623","D","1","Main","Pfoho","Silver","Quad"
"1624","A","1","Not Main","Adams","Gold","Central"
"1625","A","3","Main","Eliot","Gold","West"
"1626","D","3","Main","Leverett","Gold","East"
"1627","C","1","Main","Cabot","Green","Quad"
"1628","E","2","Main","Dunster","Silver","East"
"1629","E","1","Main","Quincy","Silver","Central"
"1630","E","2","Not Main","Mather","Green","East"
"1631","C","3","Main","Cabot","Green","Quad"
"1632","A","1","Main","Kirkland","Silver","West"
"1633","E","2","Main","Quincy","Green","Central"
"1634","A","2","Main","Currier","Gold","Quad"
"1635","D","2","Main","Quincy","Silver","Central"
"1636","D","3","Not Main","Adams","Green","Central"
"1637","E","2","Main","Eliot","Green","West"
"1638","C","2","Not Main","Winthrop","Silver","West"
"1639","C","2","Not Main","Dunster","Silver","East"
"1640","A","2","Not Main","Leverett","Silver","East"
"1641","D","1","Main","Dunster","Silver","East"
"1642","B","2","Not Main","Winthrop","Green","West"
"1643","A","1","Not Main","Cabot","Silver","Quad"
"1644","D","3","Not Main","Cabot","Green","Quad"
"1645","C","2","Not Main","Mather","Silver","East"
"1646","A","3","Main","Cabot","Green","Quad"
"1647","E","3","Main","Quincy","Gold","Central"
"1648","A","2","Not Main","Mather","Silver","East"
"1649","A","3","Not Main","Dunster","Green","East"
"1650","A","3","Main","Dunster","Silver","East"
"1651","A","1","Not Main","Eliot","Green","West"
"1652","C","3","Main","Lowell","Silver","Central"
"1653","C","2","Main","Cabot","Gold","Quad"
"1654","C","2","Main","Kirkland","Green","West"
"1655","C","2","Main","Kirkland","Gold","West"
"1656","D","1","Main","Cabot","Gold","Quad"
"1657","C","3","Main","Mather","Green","East"
"1658","B","3","Not Main","Currier","Gold","Quad"
"1659","C","1","Main","Cabot","Green","Quad"
"1660","C","2","Not Main","Quincy","Green","Central"
"1661","D","1","Main","Winthrop","Gold","West"
"1662","E","1","Not Main","Eliot","Green","West"
"1663","A","3","Not Main","Leverett","Green","East"
"1664","E","1","Main","Dunster","Gold","East"
"1665","A","3","Not Main","Currier","Green","Quad"
"1666","C","2","Main","Adams","Green","Central"
"1667","D","3","Main","Currier","Gold","Quad"
"1668","D","3","Main","Leverett","Green","East"
"1669","E","2","Not Main","Dunster","Green","East"
"1670","A","3","Main","Winthrop","Green","West"
"1671","A","1","Main","Winthrop","Silver","West"
"1672","B","3","Main","Winthrop","Gold","West"
"1673","C","3","Not Main","Winthrop","Green","West"
"1674","E","1","Main","Cabot","Green","Quad"
"1675","E","1","Main","Dunster","Silver","East"
"1676","E","1","Main","Winthrop","Silver","West"
"1677","B","3","Main","Kirkland","Silver","West"
"1678","E","1","Not Main","Dunster","Green","East"
"1679","D","2","Not Main","Eliot","Silver","West"
"1680","D","2","Not Main","Winthrop","Silver","West"
"1681","B","1","Not Main","Pfoho","Green","Quad"
"1682","E","2","Main","Eliot","Green","West"
"1683","B","1","Main","Cabot","Green","Quad"
"1684","A","2","Main","Cabot","Silver","Quad"
"1685","D","2","Not Main","Quincy","Gold","Central"
"1686","C","1","Main","Cabot","Silver","Quad"
"1687","B","1","Not Main","Cabot","Green","Quad"
"1688","B","2","Main","Leverett","Gold","East"
"1689","D","1","Main","Pfoho","Green","Quad"
"1690","A","2","Main","Quincy","Silver","Central"
"1691","A","3","Not Main","Quincy","Green","Central"
"1692","C","2","Main","Pfoho","Silver","Quad"
"1693","E","2","Not Main","Adams","Green","Central"
"1694","A","2","Not Main","Quincy","Green","Central"
"1695","B","3","Not Main","Leverett","Silver","East"
"1696","B","3","Main","Eliot","Silver","West"
"1697","E","1","Main","Mather","Green","East"
"1698","D","2","Not Main","Cabot","Gold","Quad"
"1699","E","3","Not Main","Leverett","Gold","East"
"1700","D","2","Main","Leverett","Green","East"
"1701","B","2","Main","Lowell","Green","Central"
"1702","D","2","Not Main","Winthrop","Silver","West"
"1703","B","1","Not Main","Eliot","Gold","West"
"1704","C","1","Main","Kirkland","Green","West"
"1705","C","1","Main","Eliot","Silver","West"
"1706","B","2","Not Main","Cabot","Silver","Quad"
"1707","C","3","Not Main","Mather","Green","East"
"1708","A","2","Main","Winthrop","Silver","West"
"1709","E","1","Main","Dunster","Green","East"
"1710","C","2","Not Main","Kirkland","Green","West"
"1711","C","2","Not Main","Kirkland","Green","West"
"1712","A","3","Not Main","Currier","Green","Quad"
"1713","C","3","Main","Winthrop","Green","West"
"1714","E","3","Not Main","Leverett","Gold","East"
"1715","A","3","Main","Currier","Green","Quad"
"1716","E","1","Main","Cabot","Silver","Quad"
"1717","A","3","Main","Kirkland","Gold","West"
"1718","A","1","Not Main","Dunster","Green","East"
"1719","D","2","Not Main","Adams","Silver","Central"
"1720","B","3","Not Main","Quincy","Green","Central"
"1721","B","1","Main","Winthrop","Silver","West"
"1722","A","2","Main","Quincy","Green","Central"
"1723","C","1","Main","Currier","Green","Quad"
"1724","A","2","Main","Adams","Green","Central"
"1725","A","1","Main","Kirkland","Gold","West"
"1726","E","3","Main","Winthrop","Gold","West"
"1727","C","3","Main","Cabot","Silver","Quad"
"1728","C","2","Not Main","Pfoho","Green","Quad"
"1729","C","2","Not Main","Quincy","Silver","Central"
"1730","D","3","Main","Quincy","Gold","Central"
"1731","D","1","Main","Kirkland","Gold","West"
"1732","D","3","Not Main","Pfoho","Green","Quad"
"1733","B","1","Main","Adams","Green","Central"
"1734","B","1","Main","Lowell","Silver","Central"
"1735","C","1","Not Main","Cabot","Green","Quad"
"1736","A","1","Not Main","Lowell","Gold","Central"
"1737","E","1","Main","Currier","Silver","Quad"
"1738","C","3","Main","Winthrop","Green","West"
"1739","C","3","Not Main","Leverett","Silver","East"
"1740","D","3","Not Main","Kirkland","Green","West"
"1741","A","1","Not Main","Kirkland","Green","West"
"1742","D","3","Main","Dunster","Green","East"
"1743","C","3","Main","Eliot","Silver","West"
"1744","B","3","Not Main","Adams","Silver","Central"
"1745","E","2","Main","Currier","Silver","Quad"
"1746","E","1","Not Main","Quincy","Silver","Central"
"1747","C","2","Not Main","Currier","Gold","Quad"
"1748","D","3","Main","Lowell","Gold","Central"
"1749","A","1","Not Main","Quincy","Green","Central"
"1750","B","3","Not Main","Eliot","Green","West"
"1751","A","2","Main","Adams","Green","Central"
"1752","C","2","Main","Pfoho","Green","Quad"
"1753","D","2","Main","Dunster","Green","East"
"1754","E","2","Main","Currier","Silver","Quad"
"1755","D","3","Main","Mather","Gold","East"
"1756","E","1","Not Main","Currier","Green","Quad"
"1757","E","3","Main","Cabot","Green","Quad"
"1758","A","2","Main","Cabot","Silver","Quad"
"1759","E","1","Main","Mather","Green","East"
"1760","D","2","Main","Lowell","Silver","Central"
"1761","A","2","Not Main","Mather","Gold","East"
"1762","B","3","Main","Leverett","Silver","East"
"1763","D","2","Main","Quincy","Green","Central"
"1764","C","3","Main","Winthrop","Silver","West"
"1765","D","3","Not Main","Lowell","Gold","Central"
"1766","B","3","Main","Dunster","Silver","East"
"1767","C","3","Not Main","Adams","Silver","Central"
"1768","D","3","Not Main","Currier","Silver","Quad"
"1769","E","1","Main","Quincy","Green","Central"
"1770","A","3","Not Main","Adams","Green","Central"
"1771","E","2","Main","Eliot","Silver","West"
"1772","C","1","Not Main","Leverett","Green","East"
"1773","C","3","Not Main","Lowell","Green","Central"
"1774","B","2","Main","Winthrop","Green","West"
"1775","B","1","Main","Leverett","Silver","East"
"1776","A","1","Not Main","Mather","Green","East"
"1777","C","3","Not Main","Adams","Green","Central"
"1778","D","2","Not Main","Kirkland","Green","West"
"1779","E","1","Not Main","Lowell","Silver","Central"
"1780","A","2","Not Main","Adams","Green","Central"
"1781","D","2","Not Main","Winthrop","Green","West"
